,food.330420,food.324157,food.2261420,food.325524,food.330465,food.1750338,food.334198,food.333287,food.323893,food.321359,food.2257046,food.323121,food.323294,food.789890,food.319877,food.320356,food.330464,food.321372,food.321366,food.325665,food.325663,food.334199,food.323799,food.325666,food.323892,food.334197,food.320381,food.333284,food.330430,food.320380,food.334253,food.325662,food.333285,food.334255,food.325303,food.330437
Nitrogen,0,2.13,4.199,3.96,4.24,0.08875,0,2.91,0.27,0.53,0.1275,1.87,3.94,1.75,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protein,0,13.3,26.24375,21,26.5,0.5546875,0,0,0,3.35,0.796875,11.7,20.4,10.9,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total.lipid..fat.,99.2,28.7,50.23,56.1,0,1.221,0.33,0.46,0.1,1.9,2.749,28,57.8,1.48,19,3.46,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbohydrate..by.difference,0,3.37,16.24925,17.1,0,0.3371125,0,0,0,4.91,5.100325,2.89,16.2,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ash,0.03,2.97,2.961,4.3,1.33,0.4872,0.03,1.14,2.22,0.75,0.7938,2.74,3.47,0.42,1.98,1.19,0,99.6,99.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy,0,328,0,612,0,0,0,0,0,50,0,314,620,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starch,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sucrose,0,0,0,3.14,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,100,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Glucose,0,1,0,0,0,0,0,0,0,0,0.7706,1.17,0,0,0,0,0,0,0,0,0.9,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Fructose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactose,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maltose,0,0,0,0,0,0,0,0,0,0,1.551,0.09,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbohydrate..by.summation,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0.01,51.7,4.316,1.5,60,97.4,0.01,81.6,89.7,89.1,90.56,54.6,2.2,9.83,56.3,73.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugars..Total,0,1,0,3.14,0,0,0,0,0,4.89,2.3216,1.26,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiber..total.dietary,0,0,9.266,10.3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
Total.fat..NLEA.,0,27.1,0,52.1,0,1.1089,0,0,0,1.64,0,26,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcium..Ca,0,35,232.3,78,0,172.7,0,0,0,126,148.5,15,273,19,0,0,0,0,0,0,0,0,0,0,28,0,13,13,1,0,0,0,0,0,0,0
Iron..Fe,0,1.55,3.225,5.21,0,0.2899,0,0,0,0,0.2612,1.14,3.17,5.62,0,0,0,0,0,0,0,0,0,0,0.39,0.09,1.37,0.15,0.04,0,0,0,0,0,0,0
Magnesium..Mg,0,19.7,251.1,358,0,6.785,0,0,0,12,5.909,11.5,258,26.7,0,0,0,0,0,0,0,0,0,0,13.7,0.3,11.4,22.9,0,0,0,0,0,0,0,0
Phosphorus..P,0,124,512.1,750,0,29.85,0,0,0,103,89.18,128,456,108,0,0,0,0,0,0,0,0,0,0,32,0,222,183,0,0,0,0,0,0,0,0
Potassium..K,0,263,666.8,689,0,30.79,0,0,0,159,148.4,343,684,136,0,0,0,0,0,0,0,0,0,0,0,1,312,342,0,0,0,0,0,0,0,0
Sodium..Na,0,866,0.8944,532,0,59.58,0,0,0,39,41.98,872,256,2,0,0,0,0,0,0,0,0,0,0,0,1,50,131,0,0,0,0,0,0,0,0
Zinc..Zn,0,2.14,2.795,6,0,0.1718,0,0,0,0.43,0.09062,2.06,2.8,0.72,0,0,0,0,0,0,0,0,0,0,0.17,0.01,3.38,0.32,0.02,0,0,0,0,0,0,0
Copper..Cu,0,0.075,0.9753,1.83,0,0.02126,0,0,0,0.001,0.02712,0.046,0.87,0.155,0,0,0,0,0,0,0,0,0,0,0.07,0.007,0.035,0.026,0,0,0,0,0,0,0,0
Iodine..I,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manganese..Mn,0,0.174,1.813,2.89,0,0.04497,0,0,0,0.001,0.1262,0.031,2.02,0.758,0,0,0,0,0,0,0,0,0,0,0.108,0.004,0.002,0.011,0,0,0,0,0,0,0,0
Molybdenum..Mo,0,0,36.13,0,0,0,0,0,0,0,10.09,0,0,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenium..Se,0,11.6,0.7419,80.4,0,0,0,0,0,1.8,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,10,21.1,23.3,0,0,0
Retinol,0,18,0,0,0,41.42,0,0,0,83,84.73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Vitamin.A..RAE,0,18,0,1,0,41.4,0,0,0,83,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carotene..beta,0,0,0,10,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
Vitamin.E..alpha.tocopherol.,0,0.33,0,19.6,0,3.323,0,0,0,0.03,0,0.51,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
Vitamin.D..D2.+.D3...International.Units,0,0,0,0,0,37.1,0,0,0,45,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D2..ergocalciferol.,0,0,0,0,0,0.9266,0,0,0,0,1.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D3..cholecalciferol.,0,0,0,0,0,0,0,0,0,1.1,0.007692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D..D2.+.D3.,0,0,0,0,0,0.927,0,0,0,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptoxanthin..beta,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
Lutein.+.zeaxanthin,0,0,0,42,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
Tocopherol..beta,0,0,0,0.99,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
Tocopherol..gamma,0,0.14,0,0.97,0,0.02746,0,0,0,0,0,0.17,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocopherol..delta,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
Tocotrienol..alpha,0,0,0,0.05,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51
Tocotrienol..beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
